,French,English
0,partie,part
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,laisser,let
10,car,because
11,mettre,to put
12,aucun,no
13,laisse,leash
14,eux,them
15,ville,city
16,chaque,each
17,arrivé,come
18,bébé,baby
19,longtemps,long time
20,vont,will
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,parle,speak
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,donner,give
33,leurs,their
34,donné,given
35,corps,body
36,endroit,place
37,yeux,eyes
38,façon,way
39,écoute,listen
40,dont,whose
41,perdu,lost
42,main,hand
43,côté,side
44,pouvoir,power
45,vieux,old
46,matin,morning
47,tellement,so much
48,enfant,child
49,suite,after
50,pardon,sorry
51,venez,come
52,devant,in front of
53,vers,towards
54,demandé,request
55,chambre,bedroom
56,mis,placed
57,belle,beautiful
58,droit,law
59,aimerais,would like to
60,mari,husband
61,cause,cause
62,enfin,finally
63,espère,hope
64,eau,water
65,attendez,Wait
66,parti,left
67,nouvelle,new
68,boulot,job
69,arrêter,Stop
70,dirait,would say
71,terre,Earth
72,donne,given
73,loin,far
74,croire,believe
75,chérie,sweetheart
76,gros,large
77,plutôt,rather
78,aura,will have
79,filles,girls
80,bureau,office
